Latitud;Longitud;LCOEnet;LCOEgross;TIR;Payback;Payback_simple;BCratio;CAPEX_USD;CashFlow_USD;NPV_USD;PV_kWdc;BESS_kWh;BESS_inverter_kW;PV_inverter_kW;Load_kWh;Grid_import_kWh;Grid_export_kWh;BESS_charge_kWh;BESS_discharge_kWh;PV_generated_kWh;PV_used_kWh;PV_clipping_kWh
5,106526;-75,942356;-350,6758054;164,4560811;31,19715523;3,801771676;3,191379516;3,146372135;11071015,14;3469037,476;30845971,27;11475,64036;23306,143;3808,969148;5808,969148;8760000;0;5650578,737;7846631,317;7282805,256;15942758,29;14974404,8;968353,4884
3,900736;-76,298979;-350,6758054;164,4560811;31,19715523;3,801771676;3,191379516;3,146372135;11071015,14;3469037,476;30845971,27;11475,64036;23306,143;3808,969148;5808,969148;8760000;0;5650578,737;7846631,317;7282805,256;15942758,29;14974404,8;968353,4884
3,17762;-76,458025;-354,376256;162,9418512;31,64912006;3,740457425;3,146725012;3,191021632;10976175,23;3488126,606;31171468,47;10982,98115;23811,91784;4002,200069;6002,200069;8760000;0;5549369,702;7909330,282;7340976,008;15630037,54;14877723,98;752313,5615
7,953916;-73,947264;-358,3622185;161,8465231;32,07543027;3,684372275;3,105700565;3,233173119;10904864,51;3511241,436;31522079,72;10576,13413;24322,70032;4043,203041;6043,203041;8760000;0;5841985,976;8132701,926;7553463,695;16047265,61;15181224,21;866041,407
6,145735;-72,571122;-360,2377476;161,6861306;32,24243443;3,662847955;3,089910857;3,24969491;10887056,4;3523420,871;31687054,08;10471,20419;24596,90611;3784,293194;5784,293194;8760000;0;5865928,552;8081708,827;7506694,776;16842145,55;15200942,6;1641202,947
5,874547;-72,982461;-355,7601051;164,53436;31,52530381;3,757061201;3,158837421;3,178785814;11076465,08;3506500,525;31293193,91;11254,34675;23795,1225;3808,368359;5808,368359;8760000;0;5843936,875;7947264,878;7379579,585;16508654,62;15171622,17;1337032,45
4,459279;-74,636296;-356,2389123;162,3896895;31,86188836;3,712258291;3,126119605;3,212054832;10936398,82;3498394,241;31335310,52;10901,64205;23860,91256;3891,247362;5891,247362;8760000;0;5656605,464;7931158,861;7366615,838;15636495,55;14981148,49;655347,0623
2,398999;-78,189725;-327,312771;174,3367274;28,40989294;4,227949173;3,496210865;2,872042898;11722320,02;3352864,137;28790923,62;13826,49023;21380,78749;3671,626293;5671,626293;8760000;0;4790403,622;7147032,987;6638199,479;14850413,73;14059237,13;791176,601
6,282164;-75,332616;-352,5181427;162,9805831;31,53521032;3,755727429;3,157864989;3,179764688;10970953,53;3474168,01;31008026,02;11172,35844;23531,72912;3731,41988;5731,41988;8760000;0;5714558,227;7930488,437;7360681,752;16451683,25;15044364,91;1407318,336
6,041162;-72,636653;-354,9374878;162,8807278;31,70409018;3,733131886;3,141376306;3,196454867;10968307,05;3491561,018;31220835,26;10584,69779;24690,6894;3850,162468;5850,162468;8760000;0;5665602,968;8167363,1;7580349,388;16437503,26;15012616,68;1424886,577
