Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,SpotPrice,npv
7829,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,932.1586613,30259297.804085962
7830,0.0,0.0,1000.0,0.0,0.0,0.0,4242.929524762238,932.1586613,30259297.804085962
7831,0.0,0.0,1000.0,0.0,0.0,0.0,3203.8605305810242,932.1586613,30259297.804085962
7832,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,932.1586613,30259297.804085962
7833,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,932.1586613,30259297.804085962
7834,0.0,2187.0649860187536,0.0,2187.0649860187536,1000.0,187.06498601875364,1305.7538847630494,932.1586613,30259297.804085962
7835,0.0,3950.5797193914696,0.0,3950.5797193914696,1000.0,1950.5797193914696,3182.991806705366,932.1586613,30259297.804085962
7836,0.0,4742.682320152322,0.0,4742.682320152322,1000.0,2742.682320152322,5822.549271619937,932.1586613,30259297.804085962
7837,0.0,5941.8547870314615,0.0,6318.128437097047,1000.0,3941.854787031461,9616.190318658968,922.1586613,30259297.804085962
7838,0.0,5941.8547870314615,0.0,6380.640060011478,1000.0,3941.854787031461,13409.831365698046,932.1586613,30259297.804085962
7839,0.0,5561.512936225843,0.0,5561.512936225843,1000.0,3561.512936225843,16837.4314155218,932.1586613,30259297.804085962
7840,0.0,4775.227982410852,0.0,4775.227982410852,1000.0,2775.227982410852,19508.310825794033,952.1586613,30259297.804085962
7841,0.0,3076.294566769201,0.0,3076.294566769201,1000.0,1076.294566769201,20544.136716852685,1012.158661,30259297.804085962
7842,0.0,1317.48852009054,682.5114799094599,1317.48852009054,1000.0,0.0,19834.960199906032,1012.158661,30259297.804085962
7843,0.0,0.0,2000.0,0.0,1000.0,0.0,17756.822211543607,1092.158661,30259297.804085962
7844,0.0,0.0,2000.0,0.0,1000.0,0.0,15678.684223181177,1097.158661,30259297.804085962
7845,0.0,0.0,2000.0,0.0,1000.0,0.0,13600.54623481875,1092.158661,30259297.804085962
7846,0.0,0.0,1005.7703217583864,0.0,5.770321758386424,0.0,12555.481478211947,952.1586613,30259297.804085962
7847,0.0,0.0,1000.0,0.0,0.0,0.0,11516.412484030732,937.1586613,30259297.804085962
7848,0.0,0.0,1000.0,0.0,0.0,0.0,10477.34348984952,932.1586613,30259297.804085962
7849,0.0,0.0,1000.0,0.0,0.0,0.0,9438.274495668305,883.4438721,30259297.804085962
7850,0.0,0.0,1000.0,0.0,0.0,0.0,8399.205501487091,842.4438721,30259297.804085962
7851,0.0,0.0,1000.0,0.0,0.0,0.0,7360.136507305878,842.4438721,30259297.804085962
7852,0.0,0.0,1000.0,0.0,0.0,0.0,6321.067513124664,842.4438721,30259297.804085962
7853,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,842.4438721,30259297.804085962
7854,0.0,0.0,1000.0,0.0,0.0,0.0,4242.929524762238,883.4438721,30259297.804085962
7855,0.0,0.0,1000.0,0.0,0.0,0.0,3203.8605305810242,853.6028721,30259297.804085962
7856,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,842.4438721,30259297.804085962
7857,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,688.1258721,30259297.804085962
7858,0.0,1859.8826355910871,0.0,1859.8826355910871,0.0,859.8826355910871,1953.2735907114693,642.4438721,30259297.804085962
7859,0.0,3697.4079136308833,0.0,3697.4079136308833,0.0,2697.4079136308833,4549.258966789843,642.4438721,30259297.804085962
7860,0.0,5059.273108623697,0.0,5059.273108623697,1000.0,3059.273108623697,7493.503406529315,842.4438721,30259297.804085962
7861,0.0,5753.080456333093,0.0,5753.080456333093,811.2256693016388,3941.854787031461,11287.144453568384,688.1258721,30259297.804085962
7862,0.0,5353.577694634108,0.0,5353.577694634108,844.4956768994452,3509.082017734647,14664.2849874362,692.4438721,30259297.804085962
7863,0.0,5855.971719767711,0.0,5855.971719767711,1000.0,3855.971719767711,18375.272170540702,883.4438721,30259297.804085962
7864,0.0,4097.853584502313,0.0,4097.853584502313,1000.0,2097.8535845023134,20394.246460265742,883.4438721,30259297.804085962
7865,0.0,3033.3352471816474,0.0,3033.3352471816474,1000.0,1033.3352471816474,21388.72830215334,912.4438721,30259297.804085962
7866,0.0,1112.9454326411264,501.1167433611954,1112.9454326411264,614.0621760023278,0.0,20868.033431661657,937.4438721,30259297.804085962
7867,0.0,0.0,2000.0,0.0,1000.0,0.0,18789.89544329923,952.4438721,30259297.804085962
7868,0.0,0.0,2000.0,0.0,1000.0,0.0,16711.757454936804,1012.443872,30259297.804085962
7869,0.0,0.0,2000.0,0.0,1000.0,0.0,14633.619466574375,1012.443872,30259297.804085962
